2023-09-04 10:59:25.472 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:59:30.485 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:59:35.492 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:59:40.510 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:59:45.516 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:59:50.520 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:59:55.522 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:00:00.537 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:00:05.540 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:00:10.552 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:00:15.557 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:00:20.561 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:00:25.565 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:00:30.577 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:00:35.581 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:00:40.583 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:00:45.599 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:00:50.613 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:00:55.618 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:01:00.621 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:01:05.623 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:01:10.624 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:01:15.637 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:01:20.649 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:01:25.652 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:01:30.664 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:01:35.678 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:01:40.680 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:01:45.684 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:01:50.694 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:01:55.696 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:02:00.698 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:02:05.700 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:02:10.702 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:02:15.705 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 11:02:20.711 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
